Timestamp,Action,Source,Base,Volume,Price,Counter,Fee,FeeCcy,Comment
'2022/05/31 00:44:00,STAKING,SOURCE_DOT,DOT,137.4000609594,,JPY,0,JPY,10530347-19
'2022/05/30 02:00:12,STAKING,SOURCE_DOT,DOT,224.6657874860,,JPY,0,JPY,10516952-22
'2022/05/29 22:46:12,STAKING,SOURCE_DOT,DOT,224.4510713001,,JPY,0,JPY,10515057-17
'2022/05/29 00:36:30,STAKING,SOURCE_DOT,DOT,223.4604840774,,JPY,0,JPY,10502027-2749
'2022/05/27 00:41:12,STAKING,SOURCE_DOT,DOT,74.8074376476,,JPY,0,JPY,10473822-39
'2022/05/26 01:34:00,STAKING,SOURCE_DOT,DOT,257.9779635610,,JPY,0,JPY,10460215-16
'2022/05/25 01:36:18,STAKING,SOURCE_DOT,DOT,325.5242317940,,JPY,0,JPY,10446011-34
'2022/05/24 00:46:54,STAKING,SOURCE_DOT,DOT,128.4312732300,,JPY,0,JPY,10431320-23
'2022/05/23 01:12:06,STAKING,SOURCE_DOT,DOT,314.0811833256,,JPY,0,JPY,10417375-16
'2022/05/23 00:36:36,STAKING,SOURCE_DOT,DOT,252.3182352136,,JPY,0,JPY,10417024-3251
'2022/05/21 17:33:36,STAKING,SOURCE_DOT,DOT,189.6380246676,,JPY,0,JPY,10398580-23
'2022/05/20 01:40:18,STAKING,SOURCE_DOT,DOT,259.5311134496,,JPY,0,JPY,10374896-18
'2022/05/19 00:46:36,STAKING,SOURCE_DOT,DOT,321.9308734148,,JPY,0,JPY,10360129-16
'2022/05/18 17:04:30,STAKING,SOURCE_DOT,DOT,194.1588342483,,JPY,0,JPY,10355571-16
'2022/05/17 04:15:18,STAKING,SOURCE_DOT,DOT,254.6013067051,,JPY,0,JPY,10333712-16
'2022/05/17 00:36:36,STAKING,SOURCE_DOT,DOT,196.0060475196,,JPY,0,JPY,10331548-2625
'2022/05/15 12:37:54,STAKING,SOURCE_DOT,DOT,312.9485891736,,JPY,0,JPY,10310122-15
'2022/05/14 04:31:36,STAKING,SOURCE_DOT,DOT,251.2927694760,,JPY,0,JPY,10291064-23
'2022/05/13 02:56:06,STAKING,SOURCE_DOT,DOT,286.9742475629,,JPY,0,JPY,10275830-28
'2022/05/12 01:30:12,STAKING,SOURCE_DOT,DOT,195.5356893769,,JPY,0,JPY,10260703-5337
'2022/05/11 00:41:54,STAKING,SOURCE_DOT,DOT,237.3937733217,,JPY,0,JPY,10245962-33
'2022/05/10 01:57:36,STAKING,SOURCE_DOT,DOT,200.8300139538,,JPY,0,JPY,10232468-23
'2022/05/09 01:58:54,STAKING,SOURCE_DOT,DOT,388.9917625626,,JPY,0,JPY,10218218-18
'2022/05/08 03:22:36,STAKING,SOURCE_DOT,DOT,221.2924284257,,JPY,0,JPY,10204756-15
'2022/05/08 12:22:30,STAKING,SOURCE_DOT,DOT,264.1062714256,,JPY,0,JPY,10210105-17
'2022/05/06 00:58:00,STAKING,SOURCE_DOT,DOT,198.3970052472,,JPY,0,JPY,10174820-54
'2022/05/05 00:46:00,STAKING,SOURCE_DOT,DOT,258.0355927247,,JPY,0,JPY,10160313-29
'2022/05/04 01:33:36,STAKING,SOURCE_DOT,DOT,196.5409038524,,JPY,0,JPY,10146399-23
'2022/05/03 00:43:00,STAKING,SOURCE_DOT,DOT,194.3300090473,,JPY,0,JPY,10131519-22
'2022/05/02 01:01:12,STAKING,SOURCE_DOT,DOT,137.2472690501,,JPY,0,JPY,10117303-20
'2022/05/01 00:52:00,STAKING,SOURCE_DOT,DOT,252.3928246414,,JPY,0,JPY,10102818-16
'2022/04/30 16:20:54,STAKING,SOURCE_DOT,DOT,134.8594856425,,JPY,0,JPY,10097723-17
'2022/04/29 01:21:30,STAKING,SOURCE_DOT,DOT,268.2343125844,,JPY,0,JPY,10074428-15
'2022/04/28 21:18:24,STAKING,SOURCE_DOT,DOT,317.9391612667,,JPY,0,JPY,10072006-15
'2022/04/27 22:54:30,STAKING,SOURCE_DOT,DOT,192.2687712873,,JPY,0,JPY,10058674-2697
'2022/04/26 00:53:24,STAKING,SOURCE_DOT,DOT,254.1751450012,,JPY,0,JPY,10031077-16
'2022/04/25 03:26:36,STAKING,SOURCE_DOT,DOT,134.6238261911,,JPY,0,JPY,10018230-15
'2022/04/25 00:36:30,STAKING,SOURCE_DOT,DOT,167.5786362190,,JPY,0,JPY,10016534-2850
'2022/04/23 00:37:42,STAKING,SOURCE_DOT,DOT,174.0507154828,,JPY,0,JPY,9987747-17
'2022/04/23 00:29:30,STAKING,SOURCE_DOT,DOT,313.4550748543,,JPY,0,JPY,9987665-1299
'2022/04/21 02:11:30,STAKING,SOURCE_DOT,DOT,119.2400077313,,JPY,0,JPY,9959909-536
'2022/04/20 20:50:00,STAKING,SOURCE_DOT,DOT,193.0211979563,,JPY,0,JPY,9956708-1576
'2022/04/19 13:05:30,STAKING,SOURCE_DOT,DOT,192.0382224738,,JPY,0,JPY,9937716-16
'2022/04/18 01:52:36,STAKING,SOURCE_DOT,DOT,229.9572823471,,JPY,0,JPY,9916599-13
'2022/04/17 00:47:12,STAKING,SOURCE_DOT,DOT,164.0432876480,,JPY,0,JPY,9901548-13
'2022/04/17 00:36:30,STAKING,SOURCE_DOT,DOT,250.3784327889,,JPY,0,JPY,9901442-1983
'2022/04/15 02:17:36,STAKING,SOURCE_DOT,DOT,248.0934928712,,JPY,0,JPY,9873664-16
'2022/04/14 23:53:00,STAKING,SOURCE_DOT,DOT,159.7796744142,,JPY,0,JPY,9872218-24
'2022/04/13 00:56:36,STAKING,SOURCE_DOT,DOT,164.8833514953,,JPY,0,JPY,9844058-26
'2022/04/12 10:27:00,STAKING,SOURCE_DOT,DOT,87.4188355982,,JPY,0,JPY,9835369-17
'2022/04/11 04:04:06,STAKING,SOURCE_DOT,DOT,249.4594649912,,JPY,0,JPY,9817182-16
'2022/04/10 21:38:12,STAKING,SOURCE_DOT,DOT,257.6583337709,,JPY,0,JPY,9813329-17
'2022/04/10 00:36:36,STAKING,SOURCE_DOT,DOT,245.2852482075,,JPY,0,JPY,9800718-931
'2022/04/08 00:50:12,STAKING,SOURCE_DOT,DOT,164.9603028736,,JPY,0,JPY,9772110-15
